serial ,build date,mfg location,lot number,QR Data
K058,Jul-25,SJ,1,https://QR.looma.education?serial=K058&date=July 2025&location=SJ&lot=1

K058,Jul-25,SJ,1,https://QR.looma.education?serial=K058&date=July 2025&location=SJ&lot=1

K058,Jul-25,SJ,1,https://QR.looma.education?serial=K058&date=July 2025&location=SJ&lot=1

K059,Jul-25,SJ,1,https://QR.looma.education?serial=K059&date=July 2025&location=SJ&lot=1

K059,Jul-25,SJ,1,https://QR.looma.education?serial=K059&date=July 2025&location=SJ&lot=1

K059,Jul-25,SJ,1,https://QR.looma.education?serial=K059&date=July 2025&location=SJ&lot=1

K060,Jul-25,SJ,1,https://QR.looma.education?serial=K060&date=July 2025&location=SJ&lot=1

K060,Jul-25,SJ,1,https://QR.looma.education?serial=K060&date=July 2025&location=SJ&lot=1

K060,Jul-25,SJ,1,https://QR.looma.education?serial=K060&date=July 2025&location=SJ&lot=1

K061,Jul-25,SJ,1,https://QR.looma.education?serial=K061&date=July 2025&location=SJ&lot=1

K061,Jul-25,SJ,1,https://QR.looma.education?serial=K061&date=July 2025&location=SJ&lot=1

K061,Jul-25,SJ,1,https://QR.looma.education?serial=K061&date=July 2025&location=SJ&lot=1

K062,Jul-25,SJ,1,https://QR.looma.education?serial=K062&date=July 2025&location=SJ&lot=1

K062,Jul-25,SJ,1,https://QR.looma.education?serial=K062&date=July 2025&location=SJ&lot=1

K062,Jul-25,SJ,1,https://QR.looma.education?serial=K062&date=July 2025&location=SJ&lot=1

K063,Jul-25,SJ,1,https://QR.looma.education?serial=K063&date=July 2025&location=SJ&lot=1

K063,Jul-25,SJ,1,https://QR.looma.education?serial=K063&date=July 2025&location=SJ&lot=1

K063,Jul-25,SJ,1,https://QR.looma.education?serial=K063&date=July 2025&location=SJ&lot=1

K064,Jul-25,SJ,1,https://QR.looma.education?serial=K064&date=July 2025&location=SJ&lot=1

K064,Jul-25,SJ,1,https://QR.looma.education?serial=K064&date=July 2025&location=SJ&lot=1

K064,Jul-25,SJ,1,https://QR.looma.education?serial=K064&date=July 2025&location=SJ&lot=1

K065,Jul-25,SJ,1,https://QR.looma.education?serial=K065&date=July 2025&location=SJ&lot=1

K065,Jul-25,SJ,1,https://QR.looma.education?serial=K065&date=July 2025&location=SJ&lot=1

K065,Jul-25,SJ,1,https://QR.looma.education?serial=K065&date=July 2025&location=SJ&lot=1

K066,Jul-25,SJ,1,https://QR.looma.education?serial=K066&date=July 2025&location=SJ&lot=1

K066,Jul-25,SJ,1,https://QR.looma.education?serial=K066&date=July 2025&location=SJ&lot=1

K066,Jul-25,SJ,1,https://QR.looma.education?serial=K066&date=July 2025&location=SJ&lot=1

K067,Jul-25,SJ,1,https://QR.looma.education?serial=K067&date=July 2025&location=SJ&lot=1

K067,Jul-25,SJ,1,https://QR.looma.education?serial=K067&date=July 2025&location=SJ&lot=1

K067,Jul-25,SJ,1,https://QR.looma.education?serial=K067&date=July 2025&location=SJ&lot=1

